tileswide 20
tileshigh 8
tilewidth 8
tileheight 8

layer 0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
26,30,26,26,31,26,26,26,26,26,26,32,26,26,26,26,33,26,26,26,
27,28,29,47,46,45,44,26,43,42,41,40,26,39,38,26,37,36,35,34,
48,49,50,52,51,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,
87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,72,70,69,68,
25,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,
25,122,121,25,120,119,118,117,25,116,115,114,113,112,111,25,110,109,108,107,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,134,126,125,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,127,124,
-1,-1,-1,-1,-1,160,159,-1,-1,-1,-1,-1,-1,144,143,145,-1,132,128,171,
-1,-1,168,165,164,161,158,156,154,152,-1,149,147,142,140,138,136,131,129,170,
-1,-1,167,166,163,162,157,155,153,151,150,148,146,141,139,137,135,130,129,169,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

layer 2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
1,-1,-1,14,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
1,-1,20,15,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
24,21,19,16,11,9,7,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
23,22,18,17,10,8,6,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

layer 3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,177,176,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,182,181,178,175,174,
-1,-1,-1,-1,-1,-1,192,191,190,189,188,187,186,185,184,183,180,179,173,172,

